protocol_id;Completeness;Technical Accuracy;Logical Flow;Safety;Formatting;Overall
ConnectingColumnSampleLine;3;3;4;5;2;3.4
ConnectingColumnSampleLine;3;4;5;5;2;3.8
ConnectingColumnSampleLine;3;3;4;3;2;3.0
ConnectingColumnSampleLine;2;2;3;3;1;2.2
ConnectingColumnSampleLine;3;3;4;5;2;3.4
Diluting;4;5;4;4;4;4.2
Diluting;5;5;5;5;4;4.8
Diluting;5;5;5;5;5;5.0
Diluting;5;5;4;5;5;4.8
Diluting;4;5;4;5;4;4.4
DisconnectColumn;4;5;5;5;3;4.4
DisconnectColumn;4;4;5;5;3;4.2
DisconnectColumn;4;5;5;5;3;4.4
DisconnectColumn;4;5;5;5;4;4.6
DisconnectColumn;4;5;5;5;4;4.6
ESIsourceToUltraSource;2;2;3;2;2;2.2
ESIsourceToUltraSource;3;2;3;2;2;2.4
ESIsourceToUltraSource;3;2;4;2;5;3.2
ESIsourceToUltraSource;3;3;4;2;3;3.0
ESIsourceToUltraSource;2;2;3;2;4;2.6
Evotip;5;5;5;5;4;4.8
Evotip;5;5;5;5;4;4.8
Evotip;5;5;5;5;4;4.8
Evotip;5;5;5;5;5;5.0
Evotip;5;5;5;5;4;4.8
Pipette;4;4;5;2;4;3.8
Pipette;3;2;4;1;4;2.8
Pipette;3;4;5;1;4;3.4
Pipette;3;4;5;1;4;3.4
Pipette;4;4;5;2;4;3.8
PlaceEvotips;2;2;4;2;3;2.6
PlaceEvotips;2;2;4;3;4;3.0
PlaceEvotips;2;2;4;2;3;2.6
PlaceEvotips;3;2;4;2;4;3.0
PlaceEvotips;3;2;4;3;4;3.2
QueueSamples;5;5;5;5;5;5.0
QueueSamples;5;5;5;5;5;5.0
QueueSamples;5;5;5;5;5;5.0
QueueSamples;5;5;5;5;4;4.8
QueueSamples;5;5;5;5;5;5.0
TimsCalibration;4;4;5;5;4;4.4
TimsCalibration;4;5;5;5;4;4.6
TimsCalibration;4;4;5;5;4;4.4
TimsCalibration;5;5;5;5;4;4.8
TimsCalibration;4;5;5;5;4;4.6
UltraSourceToESIsource;4;5;4;4;5;4.4
UltraSourceToESIsource;3;4;3;4;5;3.8
UltraSourceToESIsource;4;5;4;4;5;4.4
UltraSourceToESIsource;3;4;2;5;4;3.6
UltraSourceToESIsource;4;4;4;4;3;3.8
