protocol_id;Human Reviewer;Completeness;Technical Accuracy;Logical Flow;Safety;Formatting;Overall
ConnectingColumnSampleLine;reviewer1;4;3;4;5;3;3.8
ConnectingColumnSampleLine;reviewer2;3;3;5;5;5;4.2
ConnectingColumnSampleLine;reviewer3;4;3;5;4;5;4.2
ConnectingColumnSampleLine;reviewer4;4;1;4;4;5;3.6
ConnectingColumnSampleLine;reviewer5;4;3;3;4;4;3.6
Diluting;reviewer1;5;4;4;5;5;4.6
Diluting;reviewer2;3;4;5;5;4;4.2
Diluting;reviewer3;5;4;5;5;5;4.8
Diluting;reviewer4;3;5;5;5;4;4.4
Diluting;reviewer5;3;4;3;5;3;3.6
DisconnectColumn;reviewer1;4;4;4;5;4;4.2
DisconnectColumn;reviewer2;4;4;5;5;4;4.4
DisconnectColumn;reviewer3;5;4;5;5;5;4.8
DisconnectColumn;reviewer4;4;2;5;4;5;4
DisconnectColumn;reviewer5;5;5;5;4;5;4.8
ESIsourceToUltraSource;reviewer1;3;3;5;4;3;3.6
ESIsourceToUltraSource;reviewer2;3;2;3;4;3;3
ESIsourceToUltraSource;reviewer3;3;1;2;3;5;2.8
ESIsourceToUltraSource;reviewer4;3;1;5;3;5;3.4
ESIsourceToUltraSource;reviewer5;3;4;4;5;4;4
Evotip;reviewer1;5;5;3;5;2;4
Evotip;reviewer2;5;5;5;5;4;4.8
Evotip;reviewer3;4;3;5;5;5;4.4
Evotip;reviewer4;3;5;5;5;3;4.2
Evotip;reviewer5;4;5;5;5;4;4.6
Pipette;reviewer1;4;4;4;3;2;3.4
Pipette;reviewer2;3;3;3;3;4;3.2
Pipette;reviewer3;5;5;5;5;5;5
Pipette;reviewer4;3;4;5;5;4;4.2
Pipette;reviewer5;3;4;4;2;3;3.2
PlaceEvotips;reviewer1;2;1;3;4;2;2.4
PlaceEvotips;reviewer2;2;2;3;3;4;2.8
PlaceEvotips;reviewer3;3;1;3;5;5;3.4
PlaceEvotips;reviewer4;3;3;5;4;4;3.8
PlaceEvotips;reviewer5;4;3;4;5;4;4
QueueSamples;reviewer1;4;4;5;5;5;4.6
QueueSamples;reviewer2;4;4;4;5;4;4.2
QueueSamples;reviewer3;5;5;5;5;5;5
QueueSamples;reviewer4;2;5;5;5;5;4.4
QueueSamples;reviewer5;5;5;5;5;4;4.8
TimsCalibration;reviewer1;4;3;4;5;4;4
TimsCalibration;reviewer2;5;5;5;5;5;5
TimsCalibration;reviewer3;5;5;5;5;5;5
TimsCalibration;reviewer4;1;3;5;4;5;3.6
TimsCalibration;reviewer5;5;5;5;5;5;5
UltraSourceToESIsource;reviewer1;4;3;5;5;4;4.2
UltraSourceToESIsource;reviewer2;4;3;3;4;4;3.6
UltraSourceToESIsource;reviewer3;5;5;5;5;5;5
UltraSourceToESIsource;reviewer4;4;4;5;5;5;4.6
UltraSourceToESIsource;reviewer5;3;3;3;3;3;3
;;;;;;;4.068
